日期,模型收益,Baseline收益,超额收益,模型选股
2025-02-13,-0.003251794554588572,0.010138268050683474,-0.013390062605272045,"601728,600588,300251,300418,000938"
2025-02-14,-0.05792552226088987,0.0037206379311642613,-0.061646160192054135,"601728,000977,300251,600588,002600"
2025-02-17,0.06383800393514819,-0.015095808041458714,0.0789338119766069,"601728,600050,000977,603501,002600"
2025-02-18,-0.0010352700479119292,-0.003109864536284346,0.0020745944883724166,"302132,603501,601728,600050,600183"
2025-02-19,0.006860081741360369,-0.017152839481304437,0.024012921222664806,"302132,600183,000977,600050,002600"
2025-02-20,-0.024765710434320187,-0.0027472045911510756,-0.02201850584316911,"601059,002916,302132,601100,603501"
2025-02-21,-0.07893411509845391,0.00815838512129392,-0.08709250021974783,"600845,600570,600183,002916,601100"
2025-02-24,-0.05342110309737604,-0.0016359073717030492,-0.05178519572567299,"300124,600050,600845,603986,000063"
2025-02-25,-0.07806590882644149,4.272993809948389e-05,-0.07810863876454097,"300124,688041,300442,600050,688008"
2025-02-26,-0.08182697770771181,-0.005255866368556061,-0.07657111133915576,"300124,300442,002600,688041,688256"
2025-02-27,-0.0309534690737163,0.0016813336694961433,-0.03263480274321245,"688256,688041,603501,688008,300124"
2025-02-28,0.005983884770040748,-0.00506591932878051,0.011049804098821258,"688506,601881,601136,688008,601995"
2025-03-03,-0.004148804789051041,-0.0031965654944558384,-0.000952239294595203,"601881,601136,002460,002466,002709"
2025-03-04,-0.016343982086149976,-0.01574945829295058,-0.0005945237931993946,"688981,002466,688008,002460,601059"
2025-03-05,0.009584680276356995,-0.017787704468728193,0.027372384745085188,"688981,601881,300759,601100,601995"
2025-03-06,-0.018902746625634646,-0.006986691931335565,-0.011916054694299082,"688981,601100,601995,601360,300418"
2025-03-07,0.006129742783747449,0.005384536823233166,0.0007452059605142832,"603019,300476,688981,300033,002230"
2025-03-10,0.07249232226009714,0.032256947647851364,0.04023537461224577,"300476,603019,002230,301236,601995"
2025-03-11,0.050045376247724274,0.033194967398894534,0.01685040884882974,"300476,688981,002236,601100,688126"
2025-03-12,0.0684938184355501,0.023442738159833575,0.04505108027571652,"603019,300476,000977,600570,002236"
